name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Estevez Juan,Argentina,,,20,22. 9. 2005,438,438,499,491,man,right
Lingo Lee-Anne,Trinidad,,,33,15. 10. 1992,,,,,woman,right
Alessandrini Giorgio,Peru,,,35,2. 5. 1990,,,,,man,right
Sakkari Maria,Greece,172,62,30,25. 7. 1995,34,3,544,169,woman,right
Clusky James,Ireland,,,39,18. 8. 1986,-,813,-,145,man,right
Bucsa Cristina,Spain,180,63,28,1. 1. 1998,31,31,17,17,woman,right
Mugisha Emmy Mugisha,Rwanda,,,23,25. 5. 2002,,,,,man,right
Filippini Marcelo,Uruguay,,,58,4. 8. 1967,-,75,-,297,man,right
Larraya Guidi Sol Ailin,Argentina,,,,,1455,815,1217,1034,woman,right
Batista Susana,Portugal,,,38,7. 7. 1987,,,,,woman,right
Kypson Patrick,USA,188,79,26,28. 10. 1999,95,95,-,577,man,right
Goto Reina,Japan,,,19,1. 1. 2007,588,579,628,616,woman,right
Abdelgird Mohammed,Sudan,,,42,20. 4. 1983,,,,,man,right
Vandromme Jeline,Belgium,,,18,16. 11. 2007,281,279,1092,1049,woman,right
Eildal Jonas,Denmark,,,42,30. 11. 1983,,,,,man,right
Abdulmalik Kabiru,Nigeria,,,31,26. 7. 1994,,,,,man,right
De Almeida Gustavo Ribeiro,Brazil,,,19,19. 4. 2006,782,673,615,615,man,right
Bohoric Tina,Slovenia,,,39,21. 4. 1986,-,496,-,456,woman,right
Gabrielsen Lillian,Norway,,,26,13. 11. 1999,,,,,woman,right
Ghajar Nasha,Lebanon,,,27,5. 12. 1998,,,,,woman,right
Zamonov Mirsulton,Tajikistan,,,20,1. 1. 2006,,,,,man,right
Alami Karim,Morocco,,,52,24. 5. 1973,-,26,-,132,man,right
Dao Minh Trang,Viet Nam,,,29,2. 11. 1996,,,,,woman,right
Vidmanova Darja,Czech Republic,,,23,9. 1. 2003,122,118,256,256,woman,right
Rakotomalala Romeo,Madagascar,,,24,1. 1. 2002,,,,,man,right
Havermans Danique,Netherlands,,,,,1292,1285,1308,962,woman,right
Gokadze Sozar,Georgia,,,38,20. 8. 1987,-,1521,,,man,right
Vasilev Alexander,Bulgaria,,,18,14. 5. 2007,1027,975,2586,2063,man,right
Kucmova Aneta,Czech Republic,,,25,23. 5. 2000,429,296,170,146,woman,right
Rose Anneliese,Trinidad,,,47,30. 10. 1978,,,,,woman,right
Naranjo Enrique,Costa Rica,,,41,22. 11. 1984,,,,,man,right
Barovic Pasko,Croatia,,,43,16. 9. 1982,,,,,man,right
Strestian Stamati Michael,Moldavsko,,,,,,,,,man,right
Godwin Yusuph,Tanzania,,,29,1. 1. 1997,,,,,man,right
Aitkazy Amir,Kazakhstan,,,,,,,,,man,
Minasyan Davit,Armenia,,,35,10. 9. 1990,,,,,man,right
Altunkan Muzaffer Kutay,Turkey,,,32,17. 3. 1993,,,,,man,right
Ma Lea,USA,,,25,1. 2. 2001,324,324,896,896,woman,right
Anstey Amy,RSA,,,37,14. 2. 1989,,,,,woman,right
Azhar Asykal,Malaysia,,,28,7. 10. 1997,,,,,man,right
