name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Kestelboim Mariano,Argentina,,,30,6. 2. 1996,463,387,115,115,man,right
Shah Aryan,India,,,20,21. 11. 2005,416,385,478,372,man,right
Begenjov Amankuli,Turkmenistan,,,38,19. 3. 1987,,,,,man,right
Wu Tung-lin,Chinese Taipei,188,81,27,12. 5. 1998,352,158,1445,244,man,right
Khatri Santosh,Nepal,,,39,14. 10. 1986,,,,,man,right
Baptiste Hailey,USA,,,24,3. 11. 2001,43,39,118,92,woman,right
Cehajic Hena,Bosnia and Herzeg.,,,,,,,,,woman,right
Dona Mary Yvonne,Philippines,,,31,14. 9. 1994,,,,,woman,right
Kante Fatime,Seychelles,,,40,1. 1. 1986,,,,,woman,right
Bozinovska Kristina,North Macedonia,,,36,22. 7. 1989,,,,,woman,right
Bartunkova Nikola,Czech Republic,,,20,25. 2. 2006,101,101,919,320,woman,right
El Khoury John,Lebanon,,,40,14. 9. 1985,,,,,man,right
Olij Quincy,Antily (NIZ),,,33,26. 11. 1992,,,,,man,right
Jara-Salas Esteban,Costa Rica,,,45,7. 10. 1980,,,,,man,right
Cohen Erez,Guatemala,,,42,26. 7. 1983,,,,,man,right
Evans Donald,Bermuda,,,61,8. 3. 1965,,,-,1311,man,right
Chu Liya,Chinese Taipei,,,,,,,,,woman,right
Joksimovic Dragica,Yugoslavia,,,43,25. 5. 1982,-,547,-,499,woman,right
Mason Randi,Costa Rica,,,39,4. 11. 1986,,,,,man,right
Muhamedrahimov Rashid,Namibia,,,36,1. 1. 1990,,,,,man,right
Huens Harold,Belgium,,,23,3. 5. 2002,1319,1302,-,2078,man,right
Fernandez Flores Diego,Chile,,,25,7. 10. 2000,969,652,679,589,man,right
Al Shatti Adel,Kuwait,,,53,29. 8. 1972,,,-,1566,man,right
Anthis Alexandros,Greece,,,33,1. 7. 1992,,,,,man,right
Lovric Pia,Slovenia,,,23,23. 4. 2002,499,405,967,401,woman,right
Cornish Charles,Fidji,,,,,,,,,man,right
Stevens Amy,Australia,,,23,15. 10. 2002,902,896,644,637,woman,right
Batyrbekov Ernest,Kyrgyzstan,,,41,9. 7. 1984,,,,,man,right
Dominguez Collado Deborah,Guatemala,,,,,,,,,woman,right
Fischer Kevin,Philippines,,,29,12. 10. 1996,,,,,man,right
Kivattsev Kirill,Russia,193,80,28,10. 10. 1997,583,477,824,418,man,right
Tudorica Alvin Nicholas,Canada,,,24,13. 2. 2002,763,429,712,416,man,right
Akhavan Shahab,Iran,,,44,9. 11. 1981,,,,,man,right
Nureldin Gaafar,Sudan,,,42,27. 9. 1983,,,,,man,right
Gudelj Vanja,Netherlands,,,,,1483,1293,1089,1083,woman,right
Bacon Karyn,RSA,,,53,19. 6. 1972,,,-,474,woman,right
Hajiyev Rustam,Azerbaijan,,,36,4. 12. 1989,,,,,man,right
Naef Celine,Switzerland,,,20,25. 6. 2005,228,121,386,121,woman,right
Dunne Katy,Great Britain,178,64,31,16. 2. 1995,585,212,-,135,woman,right
Okonkwo Oliver,Great Britain,,,25,8. 4. 2000,1120,1059,1114,455,man,right
Ben Sedrine Wiem,Tunisia,,,37,30. 11. 1988,,,,,woman,right
Astreinidis Filippos,Greece,,,,,,,,,man,right
Bjelajac Sanja,Croatia,,,44,11. 4. 1981,,,,,woman,right
Brennan Breda,Ireland,,,23,13. 2. 2003,,,,,woman,right
Silbereisen Tatiana,Luxembourg,,,37,3. 12. 1988,,,-,1204,woman,right
Sabanathan Shyamalhan,Sri Lanka,,,39,20. 4. 1986,,,,,man,right
Stoyanov Antonia,Netherlands,,,16,15. 9. 2009,972,928,774,762,woman,right
Abdel Samad Yasmin,Egypt,,,35,14. 8. 1990,,,,,woman,right
Ahlawat Shruti,India,,,,,903,902,,,woman,right
Wagner Stephanie,Germany,,,31,17. 9. 1994,774,263,-,592,woman,right
Akli Ayana,USA,,,,,235,235,136,136,woman,right
Imai Shintaro,Japan,178,74,32,7. 9. 1993,642,290,1585,241,man,right
Chung Richard,Trinidad,,,36,17. 5. 1989,,,,,man,right
Bastiaansen Pepijn,Netherlands,,,21,1. 1. 2005,1094,952,2121,1135,man,right
Aksu Semra,Turkey,,,23,18. 1. 2003,,,,,woman,right
Oz Ipek,Turkey,,,26,8. 7. 1999,564,163,354,311,woman,right
Duldaev Daniyar,Kyrgyzstan,,,33,27. 10. 1992,-,607,-,484,man,right
Lyn Jr Roger,Jamaica,,,,,,,,,man,
Gomez Maria,Ecuador,,,38,24. 9. 1987,,,,,woman,right
Rasim Melis,Bulgaria,,,20,1. 1. 2006,1241,1199,1251,1236,woman,right
Fridthjof Cecilie Agerbek,Denmark,,,,,,,,,woman,right
Bvunzuwabaya Namkara,Zimbabwe,,,46,26. 9. 1979,,,,,man,right
Al Shammari Abdulla,Qatar,,,34,8. 2. 1992,,,,,man,right
Denisenko Jana,Latvia,,,19,1. 1. 2007,,,1380,1375,woman,right
Achour Sami,Tunisia,,,46,14. 2. 1980,,,,,man,right
Mondal Prithul,Bangladesh,,,36,1. 4. 1989,,,,,man,right
Bao Laura,Switzerland,,,44,6. 3. 1982,-,336,-,410,woman,right
Alarcon Victor,Peru,,,23,1. 1. 2003,,,,,man,right
Del Olmo Luca,Virgin Islands,,,29,1. 1. 1997,,,,,man,right
Fernandez-Acanda Marcos,Cuba,,,39,15. 3. 1986,,,,,man,right
Hadjistyllis Soteris,Cyprus,,,33,24. 4. 1992,,,,,man,right
Borvanov Roman,Moldavsko,183,80,43,31. 3. 1982,-,200,-,182,man,right
Rivera-Rivera Barbara,Puerto Rico,,,31,23. 6. 1994,,,,,woman,right
Hagi Erica Kanna,Hong Kong,,,,,,,,,woman,right
Lopez Jorge Luis,Nicaragua,,,49,5. 2. 1977,,,,,man,right
Bartels Rudi,RSA,,,37,9. 3. 1989,,,,,man,right
Johnson Otis,Jamaica,,,43,22. 2. 1983,,,,,man,right
Halys Quentin,France,191,78,29,26. 10. 1996,102,46,89,88,man,right
Bista Swastika,Nepal,,,16,1. 1. 2010,,,,,woman,right
Pacheco Lilien,Cuba,,,33,11. 6. 1992,,,,,woman,right
Sibai Jizelle,Australia,,,17,1. 1. 2009,862,862,1204,1171,woman,right
Zeltina Beatrise,Latvia,,,18,18. 3. 2007,600,600,820,820,woman,right
Pace Francesca,Italy,,,21,1. 1. 2005,349,330,294,287,woman,right
Gatete Hamissi,Rwanda,,,30,12. 5. 1995,,,,,man,right
Donald Matthew William,Czech Republic,,,21,8. 11. 2004,589,588,699,589,man,right
Galben Mariana,Moldavsko,,,28,18. 12. 1997,,,,,woman,right
Chebihi Mohoub,Algeria,,,38,21. 3. 1987,,,,,man,right
Alazmeh Taym,Germany,,,21,31. 3. 2004,959,946,1118,719,man,right
Bartusek Karolina,Poland,,,23,1. 1. 2003,,,,,woman,right
Sangare Nouhoun,Ivory Coast,,,50,3. 6. 1975,-,1154,-,1232,man,right
Sanon Valentin,Ivory Coast,,,45,20. 5. 1980,-,341,-,376,man,right
Adlbrecht Luca,Austria,,,22,1. 1. 2004,,,,,man,right
Boes Francisco,Equatorial Guinea,,,46,20. 2. 1980,,,,,man,right
Abraham Sasha,India,,,40,27. 5. 1985,,,-,777,woman,right
Al Barwani Ahmed,Oman,,,34,23. 5. 1991,,,,,man,right
Andersson Gustav (2006),Sweden,,,20,1. 1. 2006,,,,,man,right
Aguilar Ramirez Anabel,Mexico,,,,,,,,,woman,
Jusufbegovic Amila,Bosnia and Herzeg.,,,23,21. 7. 2002,,,-,1347,woman,right
Sheeza Sajid,Pakistan,,,20,1. 1. 2006,,,,,woman,right
Chehabi Zaid,Syria,,,38,19. 7. 1987,,,,,man,right
Grovas Rafael E.,Puerto Rico,,,25,2. 6. 2000,,,,,man,right
Jaber Abed El Kareem,Jordan,,,30,18. 1. 1996,,,,,man,right
Baluska Yannick,Luxembourg,,,21,14. 10. 2004,,,1686,1674,man,right
Carreras Lampert Karim Lisset,Paraguay,,,,,,,,,woman,
Sukhbat Gunjee,Mongolia,,,31,15. 8. 1994,,,,,woman,right
Alvarez-A Maria Fernanda,Bolivia,,,35,15. 11. 1990,,,,,woman,right
Reque Jose Adriel,Puerto Rico,,,34,5. 3. 1992,,,,,man,right
Seetso Denzel,Botswana,,,,,,,,,man,right
Ferrari Gianmarco,Italy,,,25,4. 10. 2000,468,387,925,296,man,left
Zhang Minghui,China,,,21,1. 1. 2005,2176,1766,1994,1760,man,right
Bouakel Malika,Algeria,,,41,9. 1. 1985,,,,,woman,right
Maksimovic Marko,Serbia,,,20,12. 2. 2006,917,837,421,369,man,right
Ellefsen Nils,Norway,,,31,30. 6. 1994,,,,,man,right
Azkara Arda,Turkey,,,22,14. 3. 2003,573,541,702,693,man,right
Al-Saedi Adil,Iraq,,,32,5. 8. 1993,,,,,man,right
Amini Hajibashi Sahar,Iran,,,37,25. 5. 1988,,,,,woman,right
Cacao Tiago,Portugal,185,82,28,28. 2. 1998,880,395,2307,469,man,right
Gill Felix,Great Britain,,,23,1. 6. 2002,253,253,1387,459,man,left
Aragones Miro Quesada Nicole,Peru,,,30,3. 5. 1995,,,,,woman,right
Chen Wei-Lin,Chinese Taipei,,,23,1. 1. 2003,,,,,man,right
Monfils Gael,France,193,85,39,1. 9. 1986,148,6,-,11,man,right
Charlo Berger Gaston,Uruguay,,,25,8. 9. 2000,,,,,man,right
Tapuskovic Vuk,Yugoslavia,,,52,26. 8. 1973,,,-,1024,man,right
Steur Joelle Lilly Sophie,Germany,,,21,30. 3. 2004,506,413,442,367,woman,right
Alhogbani Saud,Saudi Arabia,,,23,15. 1. 2003,,,-,2484,man,right
Abu-Zekry Ahmed,Egypt,,,33,8. 9. 1992,,,,,man,right
Akramov Sherzod,Uzbekistan,,,31,28. 8. 1994,,,,,man,right
Kvitova Petra,Czech Republic,183,70,36,8. 3. 1990,545,2,-,196,woman,left
Budnik Nicole,Chile,,,33,11. 6. 1992,,,,,woman,right
Batin Tudor,Romania,,,,,1188,1183,1319,1303,man,right
Diaz Padron Melanie Isabella,Cuba,,,29,2. 11. 1996,,,,,woman,right
Forster Robin,Liechtenstein,,,30,14. 2. 1996,,,,,man,right
Zantedeschi Aurora,Italy,,,25,2. 11. 2000,320,292,180,102,woman,right
Karma Noah,Switzerland,,,,,1622,1608,1826,1823,man,right
Bahri Zakaria,Morocco,,,44,14. 9. 1981,,,,,man,right
Chang Tian Xin,Chinese Taipei,,,21,1. 1. 2005,,,,,woman,right
Cazares Gabriela,Ecuador,,,39,21. 6. 1986,,,,,woman,right
Planchard Nicolas,Luxembourg,,,33,28. 4. 1992,,,,,man,right
Kamil Ahmed,Pakistan,,,,,,,,,man,
Chachkhunashvili Salome,Georgia,,,36,29. 5. 1989,-,1061,,,woman,right
Kim Delton,Cambodia,,,26,5. 7. 1999,,,,,man,right
Barbosa Romain,Belgium,183,80,31,17. 4. 1994,-,403,-,296,man,right
Edmunds Jonathan,Namibia,,,33,12. 7. 1992,,,,,man,right
Alvarado Ana Maria,Colombia,,,59,7. 7. 1966,,,,,woman,right
Moeti Nassan,Syria,,,32,23. 3. 1993,,,,,man,right
Rufyikiri Muheto Ronald,Burundi,,,30,12. 3. 1996,,,,,man,right
Arseneault Ariana,Canada,,,23,15. 6. 2002,470,428,199,111,woman,right
Arogundade Yetunde,Nigeria,,,40,7. 1. 1986,,,,,woman,right
Kenensarova Emiliya,Kyrgyzstan,,,16,1. 1. 2010,,,,,woman,right
Qinami Rea,Albania,,,20,1. 1. 2006,,,,,woman,right
Asha Tigist Alemu,Ethiopia,,,,,,,,,woman,right
Cherkassova Tamara,Kazakhstan,,,24,6. 5. 2001,,,-,1668,woman,right
Usmonjonov Abdulaziz,Uzbekistan,,,,,1940,1866,,,man,right
Ramirez Bolanos Oscar Javier,El Salvador,,,26,20. 11. 1999,,,,,man,right
Falabella Lautaro Agustin,Argentina,,,28,19. 1. 1998,871,713,408,331,man,left
Castillo Elizaveta,Peru,,,19,1. 1. 2007,-,1402,-,1033,woman,left
Msiska Watipaso,Zambia,,,39,15. 2. 1987,,,,,woman,right
Vergara Rivera Antonia,Chile,,,,,423,396,586,574,woman,right
Jasim Ali,Iraq,,,,,,,,,man,
Bassem Sobhy Michael,Egypt,,,21,7. 5. 2004,682,682,753,688,man,right
Tien Learner,USA,,,20,2. 12. 2005,27,23,438,343,man,left
Nidunjianzan Fnu,China,,,22,7. 1. 2004,1253,800,940,932,man,right
Suresh Darrshan,Malaysia,,,25,7. 2. 2001,1622,1528,1124,1122,man,right
Tran Thi-Kim-Loi,Viet Nam,,,42,10. 8. 1983,,,-,783,woman,right
Alonso Barbara,Portugal,,,32,26. 2. 1994,,,,,woman,right
Babak Evgeniy,Kyrgyzstan,,,32,27. 12. 1993,,,,,man,right
Abdourahman-Youssouf Abdi-Fatah,Djibouti,,,39,1. 1. 1987,,,,,man,right
Martinov Alisa,Moldavsko,,,28,9. 11. 1997,-,1225,-,1185,woman,right
Djellal Mustapha Reda,Algeria,,,42,29. 12. 1983,,,,,man,right
Maloney Patrick,USA,,,34,8. 2. 1992,428,319,625,467,man,right
Samuel Zewdie,Ethiopia,,,,,,,,,woman,
Bjorne Frederick,Norway,,,33,16. 7. 1992,,,,,man,right
Jonsson Andri,Iceland,,,41,12. 10. 1984,,,-,1370,man,right
Castedo Maria Olivia,Bolivia,,,,,,,,,woman,right
Norbu Pema,Bhutan,,,24,1. 1. 2002,,,,,man,right
Hernandez Alejandro (CUB),Cuba,,,36,19. 9. 1989,,,,,man,right
Anisimova Amanda,USA,180,59,24,31. 8. 2001,6,3,-,386,woman,right
Ben Aba Jasmine,Tunisia,,,17,1. 1. 2009,,,,,woman,right
Joint Maya,Australia,,,19,16. 4. 2006,29,28,34,33,woman,right
Park Minjong,South Korea,,,24,22. 10. 2001,1790,1348,1881,1451,man,right
Arevalo Czarina-Mae,Philippines,,,40,14. 5. 1985,-,588,-,797,woman,right
Catalan Brecht,Philippines,,,,,,,,,man,
Ponson Kenneth,Aruba,,,59,17. 9. 1966,,,,,man,right
Aguirre Lia,Argentina,,,,,,,,,woman,
Kartal Sonay,Great Britain,,,24,28. 10. 2001,54,44,178,171,woman,right
Amrhar Samy,Morocco,,,25,21. 10. 2000,,,,,man,right
Daniusevicius Gintas,Lithuania,,,40,25. 1. 1986,,,,,man,right
Salgues Claudia,Uruguay,,,43,16. 4. 1982,-,628,-,425,woman,right
Brokakis Ioannis,Greece,,,33,5. 9. 1992,,,,,man,right
Pereira Jose,Brazil,180,74,35,26. 1. 1991,736,232,502,260,man,right
Hogan Anne-Marie,Ireland,,,44,9. 6. 1981,,,,,woman,right
Ye Qiu Yu,China,,,28,29. 11. 1997,926,480,248,95,woman,right
Ander Nazil,Turkey,,,,,,,,,woman,right
Asic Kovac Tom,Slovenia,,,25,12. 5. 2000,,,,,man,right
Coicou Jacquelyn Dominique,Haiti,,,26,1. 1. 2000,,,,,man,right
Anastasijevic Zorana,Serbia,,,36,23. 3. 1989,,,,,woman,right
Alvarez Cristian,Ecuador,,,36,1. 9. 1989,-,1349,,,man,right
Malick Abdoul Shakur,Burundi,,,20,1. 1. 2006,,,,,man,right
Abramovich Anastasiya,Belarus,,,23,19. 1. 2003,,,,,woman,right
Hoareau Benjamin,Reunion,,,30,1. 1. 1996,,,,,man,right
De La Fuente Santiago,Argentina,,,24,6. 2. 2002,643,618,387,355,man,right
Balderrama Sabrina,Venezuela,,,,,,,,,woman,right
Paulo Emanuel Afonso,Angola,,,,,,,,,man,
Bernard Jose,Dominican Rep.,,,45,17. 7. 1980,-,1418,-,1184,man,right
Gurgenidze Nikoloz,Georgia,,,19,1. 1. 2007,,,,,man,right
Andrzejevska Katrina,Latvia,,,30,23. 8. 1995,,,,,woman,right
Isic Sumejja,Bosnia and Herzeg.,,,,,,,,,woman,right
Tabunshchyk Anna,Canada,,,18,1. 1. 2008,1234,1229,1322,1206,woman,right
Badawi Amira,Egypt,,,24,1. 9. 2001,-,1138,-,1428,woman,right
Reyes German,Nicaragua,,,40,28. 7. 1985,,,,,man,right
Carbone dos Santos Maria Eduarda,Brazil,,,,,1399,1383,,,woman,right
Gehre Boettner Astrid Maria,Paraguay,,,32,9. 2. 1994,,,,,woman,right
Dewantoro Agung Bagus,Indonesia,,,36,13. 8. 1989,-,1468,-,1016,man,right
Bizjak Blaz,Slovenia,,,31,12. 4. 1994,-,1236,-,1395,man,left
Rodriguez Victoria,Mexico,,,30,22. 4. 1995,416,216,265,113,woman,right
Plipuech Peangtarn,Thailand,169,64,33,15. 11. 1992,720,175,103,95,woman,right
Llamas Ruiz Pablo,Spain,,,23,13. 10. 2002,193,131,276,276,man,right
Abdo Omar,Saudi Arabia,,,29,18. 2. 1997,,,,,man,right
Collazo Erick,Cuba,,,44,14. 1. 1982,,,,,man,right
Jianu Filip Cristian,Romania,180,70,24,18. 9. 2001,252,210,-,387,man,right
Steenbakkers Lukas,Aruba,,,30,14. 6. 1995,,,,,man,right
Kato Riku,Hong Kong,,,,,,,,,man,right
Abdullatif Ahmed Mahmoud Mohamed,Egypt,,,32,10. 1. 1994,,,,,man,right
Cherifa Abderrahmane,Algeria,,,42,17. 5. 1983,,,,,man,right
Konishi Camargo Silva Julia,Brazil,,,26,26. 1. 2000,738,710,469,459,woman,right
Ujvary Matthias,Austria,180,71,21,5. 7. 2004,1080,932,1551,907,man,right
Ayadi Haykel,Tunisia,,,35,5. 10. 1990,,,,,man,right
Blanch Dali,USA,,,23,5. 3. 2003,434,433,774,540,man,right
Boey Nicholas,Brunei,,,33,14. 8. 1992,,,,,man,right
Cubis Normunds,Latvia,,,37,2. 6. 1988,,,,,man,right
Kotecha Sneha,Kenya,,,23,16. 4. 2002,,,,,woman,right
Benhadi Ghita,Morocco,,,28,15. 2. 1998,,,-,1273,woman,right
Klycheva Arzuv,Turkmenistan,,,26,26. 5. 1999,,,,,woman,right
Abeaboeru Carmen,Romania,,,40,16. 5. 1985,,,,,woman,right
Asanov Arsen,Uzbekistan,,,39,9. 9. 1986,-,804,-,852,man,right
Faurel Thomas,France,,,20,21. 1. 2006,405,405,2357,1815,man,right
Bloore James,New Zealand,,,44,16. 8. 1981,,,,,man,right
Ali Mutawa Jabor Mohammed,Qatar,,,31,27. 5. 1994,,,-,1590,man,right
Choe Jaesung,South Korea,,,26,21. 10. 1999,1374,1361,2460,748,man,right
Van Impe Amelie,Belgium,,,,,629,456,589,473,woman,right
Grabher Julia,Austria,170,60,29,2. 7. 1996,79,54,642,387,woman,right
Hormazabal Jaime,Guatemala,,,55,1. 1. 1971,,,-,1576,man,right
Brdarevic Erna,Luxembourg,,,,,,,,,woman,right
Shibahara Ena,Japan,,,28,12. 2. 1998,241,116,58,4,woman,right
Mukhidinov Firuz,Tajikistan,,,29,28. 1. 1997,,,,,man,right
Calvelo Xavier,Philippines,,,,,,,,,man,right
Doldan Zoe,Paraguay,,,,,,,,,woman,right
Gatoto Allan,Burundi,,,,,,,,,man,right
Chua Sophie Ashley,Singapore,,,17,1. 1. 2009,,,,,woman,right
Umumararungu Giselle,Rwanda,,,30,24. 9. 1995,,,,,woman,right
Lopez Luisa Elfride,Guatemala,,,45,14. 2. 1981,,,,,woman,right
Ramos Garcia Maria Paula,Guatemala,,,20,1. 1. 2006,,,,,woman,
La Vela Giuseppe,Italy,,,25,16. 10. 2000,631,599,1302,946,man,right
Acevedo Pablo,Mexico,,,39,27. 6. 1986,,,,,man,right
Decruy Kyna,New Zealand,,,,,,,-,980,woman,right
Moreno John,Philippines,,,44,26. 1. 1982,,,,,man,right
Gniewkowska Oriana,Poland,,,20,1. 1. 2006,1319,1304,1236,1209,woman,right
Aljufairi Rayyan,Qatar,,,24,3. 2. 2002,,,,,man,right
Wong Maximus Zavier,Singapore,,,,,1940,1892,2460,2287,man,right
Mesgary Media,Iran,,,,,,,,,woman,right
Maseeh Faisal,Bahrain,,,18,1. 1. 2008,,,,,man,right
Wong Billie Kee-Long,Brunei,,,41,1. 1. 1985,,,,,man,right
Kong Weiyi,China,,,,,1562,1509,2023,1984,man,right
Jovanovski Cedomir,North Macedonia,,,46,3. 1. 1980,,,-,990,man,right
Cole Richard,Barbados,,,34,17. 11. 1991,,,,,man,right
Dissanayake Thilina Weerabaddana,Sri Lanka,,,,,,,,,man,
Brunold Mika,Switzerland,,,21,2. 10. 2004,384,289,1186,1021,man,right
Soltoianu Andrei,Moldavsko,,,32,4. 10. 1993,,,-,1209,man,right
Lys Eva,Germany,,,24,12. 1. 2002,70,39,1101,768,woman,right
Mihailovic Zoran,Yugoslavia,,,45,26. 9. 1980,-,1394,-,1342,man,right
Roslan Nurin Nabilah,Malaysia,,,28,13. 1. 1998,,,,,woman,right
Sebov Katherine,Canada,,,27,5. 1. 1999,237,136,574,433,woman,right
De Los Rios Rosana,Paraguay,170,54,50,16. 9. 1975,-,52,-,55,woman,right
Abidov Farrukh,Uzbekistan,,,41,4. 5. 1984,,,,,man,right
Mafara Gilbert,Zimbabwe,,,49,7. 7. 1976,,,,,man,right
Brause Alberto,Uruguay,,,50,25. 8. 1975,-,552,-,1247,man,right
Markovic Katarina,Yugoslavia,,,35,16. 1. 1991,,,,,woman,right
Bayseit Shingis,Kazakhstan,,,21,1. 1. 2005,,,,,man,right
Abbas Adel,Egypt,,,42,14. 4. 1983,,,,,man,right
Tiukaev Ruslan,Russia,,,20,8. 6. 2005,988,959,1027,927,man,right
Chukwuweteli Ebelechukwu,Nigeria,,,36,1. 5. 1989,,,,,woman,right
Pang Michelle,Guam,,,37,10. 5. 1988,,,,,woman,right
Wang Qiulin,China,,,23,6. 9. 2002,2105,1363,1797,1751,man,right
Mantri Adavait,Singapore,,,,,,,,,man,right
Jacobs Tuki,Namibia,188,92,31,10. 12. 1994,-,1015,-,1361,man,right
Aziz Oussama,Morocco,,,29,27. 4. 1996,,,,,man,right
Atanasova Ani,Bulgaria,,,23,1. 1. 2003,,,,,woman,right
Benitez Alejandro,Panama,,,30,7. 6. 1995,,,,,man,right
Golubic Viktorija,Switzerland,169,56,33,16. 10. 1992,75,35,436,61,woman,right
Wirges Angelina,Germany,,,23,17. 6. 2002,881,546,626,544,woman,left
Benchetrit Elliot,Morocco,193,88,27,2. 10. 1998,1247,198,-,198,man,right
Andreev Rumen,Bulgaria,,,26,8. 5. 1999,,,,,man,right
Anegon Javier,Uruguay,,,33,22. 9. 1992,,,,,man,left
Bakker Sanne,Netherlands,,,36,27. 12. 1989,,,,,woman,right
Ndayizigiye Asumani,Burkina Faso,,,37,5. 10. 1988,,,,,man,right
Boudjemaoui Wissal,Algeria,,,19,1. 1. 2007,,,,,woman,right
Gonzalez Domenica,Ecuador,,,30,12. 2. 1996,-,669,-,704,woman,right
Velkovska Iva,North Macedonia,,,37,17. 4. 1988,-,1047,,,woman,right
Black Brooke,Great Britain,,,,,761,708,575,519,woman,right
Holopainen Wanda,Finland,,,32,2. 12. 1993,,,,,woman,right
Hurkacz Hubert,Poland,196,81,29,11. 2. 1997,71,6,-,29,man,right
Roca Batalla Oriol,Spain,173,75,32,30. 4. 1993,398,150,260,128,man,right
Alikhanbekov Emil,Azerbaijan,,,38,12. 4. 1987,,,,,man,right
Davila Tulio,Guatemala,,,37,27. 8. 1988,,,,,man,right
Ivanisevic Emanuel,Croatia,,,19,1. 1. 2007,1476,1430,1391,1375,man,right
Sach Tai,Australia,,,23,16. 9. 2002,536,535,372,372,man,right
Aslan Dilara,Turkey,,,,,,,,,woman,
Bado Joaquin,Uruguay,,,36,8. 11. 1989,,,,,man,right
Bondari Elena,Moldavia,,,40,15. 11. 1985,,,,,woman,right
Tursunova Anastasiya,Tajikistan,,,24,16. 6. 2001,,,,,woman,right
Al Herz Abdullah,Kuwait,,,35,18. 2. 1991,,,,,man,right
Chung Hyeon,South Korea,188,89,29,19. 5. 1996,404,19,-,161,man,right
Aldousari Fahad,Kuwait,,,23,15. 12. 2002,,,,,man,right
Pierre Luke,Cook Islands,,,,,,,,,man,
Gamretkaia Arina,Moldavsko,,,,,,,,,woman,right
Rodriguez-Vidal Alejandro,Puerto Rico,,,27,23. 11. 1998,,,,,man,right
Giberte Ilona,Latvia,,,41,19. 11. 1984,,,,,woman,right
Radilofe Verolalaina Helene,Madagascar,,,30,12. 2. 1996,,,,,woman,right
Becerra Otarola Ignacio Antonio,Chile,,,25,25. 9. 2000,1335,729,603,599,man,right
Artieda Jean,Ecuador,,,30,14. 6. 1995,,,,,man,right
Rocchetti Sofia,Italy,,,23,23. 8. 2002,687,380,521,371,woman,right
Alenas Klara,Sweden,,,28,20. 8. 1997,,,,,woman,right
Ymer Elias,Sweden,183,79,29,10. 4. 1996,174,105,-,188,man,right
Alvarez Valdes Luis Carlos,Mexico,,,21,3. 9. 2004,617,533,1222,1057,man,right
Gray Alastair,Great Britain,188,73,27,22. 6. 1998,362,237,956,304,man,right
Jamji Amine,Morocco,,,,,1594,1523,1704,1696,man,right
Chubkov Nikita,Belarus,,,29,10. 10. 1996,,,,,man,right
Houkes Max,Netherlands,,,25,3. 7. 2000,245,235,732,344,man,left
Acheriteguy Maximiliano,Uruguay,,,39,17. 3. 1986,,,,,man,right
Silva Ashen Minoj Julan,Sri Lanka,,,,,,,,,man,right
Balsiukas Vytis,Lithuania,,,39,13. 1. 1987,-,1777,-,1252,man,right
Marmousez Lilian,France,,,24,3. 1. 2002,289,289,1583,716,man,right
Huang Haoyuan,China,,,,,1634,833,1919,1696,man,right
Poghosyan Davit,Armenia,,,,,,,,,man,right
Bahn Elisabeth,Austria,,,41,1. 7. 1984,-,534,-,527,woman,right
Boustany Marc-Selim,Lebanon,,,26,6. 5. 1999,,,,,man,right
Hakena Colita,Papua N. Guinea,,,16,1. 1. 2010,,,,,woman,right
Angel Diego,Peru,,,36,2. 1. 1990,,,,,man,right
Ngo Maria-Angelica,Philippines,,,39,1. 12. 1986,,,,,woman,right
Leme Da Silva Nauhany Vitoria,Brazil,,,16,13. 3. 2010,666,646,681,678,woman,right
Brito Gisel,Chile,,,40,29. 10. 1985,,,,,woman,right
Abdalkarem Akram,Iraq,,,44,16. 11. 1981,,,,,man,right
Ranaivo Mialy,Madagascar,,,,,,,,,woman,right
Cheruiyot Kevin,Kenya,,,28,28. 1. 1998,-,1694,-,1660,man,right
Schorr Robert,N. Mariana Isl.,,,,,,,,,man,right
Abreu Beatriz,Portugal,,,30,28. 7. 1995,,,,,woman,right
Munar Jaume,Spain,183,76,28,5. 5. 1997,36,33,202,98,man,right
Bordas Patricia,Hungary,,,23,25. 9. 2002,,,,,woman,right
Bencomo Munoz Cesar Augusto,Venezuela,,,31,6. 1. 1995,,,,,man,right
Wang Xinyu,China,182,75,24,26. 9. 2001,30,30,111,16,woman,right
Hansen Emilie,Denmark,,,27,13. 4. 1998,,,,,woman,right
Velkoska Teona,North Macedonia,,,26,10. 6. 1999,,,,,woman,right
Arshakyan Ivan,Armenia,,,26,22. 2. 2000,,,,,man,right
Haji Awang Muhaimin,Brunei,,,36,18. 4. 1989,,,,,man,right
Khoo Chin Bee,Malaysia,,,47,4. 5. 1978,-,332,-,251,woman,right
Ayala Leon Diego Francisco,Ecuador,,,28,12. 10. 1997,,,,,man,right
Bueno Gabriela (1995),Peru,,,30,7. 11. 1995,,,,,woman,right
Ascarrunz Ignacio,Bolivia,,,27,24. 3. 1998,,,,,man,right
Berge Kathrine,Denmark,,,29,18. 4. 1996,,,,,woman,right
Bazu Daniel,Mauritius,,,27,6. 11. 1998,,,,,man,right
Chamurovski Prohor,North Macedonia,,,26,4. 2. 2000,,,,,man,
Beljajevova Nina,Slovakia,,,38,16. 12. 1987,,,,,woman,right
Bankou Mikalai,Belarus,,,,,,,,,man,right
