rank,name,country_name,country_id,active,value,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
123,Taro Daniel,Japan,JPN,False,172 km/h,Japan,191.0,80.0,33.0,27. 1. 1993,446,58.0,-,116.0,man,right
127,Dusan Lajovic,Serbia,SRB,False,171 km/h,Serbia,183.0,83.0,35.0,30. 6. 1990,120,23.0,-,26.0,man,right
129,Jaume Munar,Spain,ESP,False,171 km/h,Spain,183.0,76.0,28.0,5. 5. 1997,36,33.0,202,98.0,man,right
134,David Goffin,Belgium,BEL,False,171 km/h,Belgium,180.0,70.0,35.0,7. 12. 1990,143,7.0,-,14.0,man,right
135,Alex Molcan,Slovakia,SVK,False,170 km/h,Slovakia,178.0,73.0,28.0,1. 12. 1997,200,38.0,-,268.0,man,left
137,Flavio Cobolli,Italy,ITA,False,170 km/h,Italy,,,23.0,6. 5. 2002,15,15.0,362,185.0,man,right
138,Rinky Hijikata,Australia,AUS,False,170 km/h,Australia,178.0,68.0,25.0,23. 2. 2001,117,62.0,62,23.0,man,right
140,Alexandre Muller,France,FRA,False,170 km/h,France,183.0,75.0,29.0,1. 2. 1997,81,38.0,440,194.0,man,right
143,Jordan Thompson,Australia,AUS,False,170 km/h,Australia,183.0,82.0,31.0,20. 4. 1994,116,26.0,66,3.0,man,right
144,Jozef Kovalik,Slovakia,SVK,False,170 km/h,Slovakia,183.0,82.0,33.0,4. 11. 1992,691,80.0,-,126.0,man,right
145,Adrian Mannarino,France,FRA,False,169 km/h,France,180.0,79.0,37.0,29. 6. 1988,48,17.0,-,34.0,man,left
147,Pavel Kotov,Russian Federation,RUS,False,169 km/h,Russia,191.0,86.0,27.0,18. 11. 1998,402,50.0,-,226.0,man,right
148,Cameron Norrie,United Kingdom,GBR,False,169 km/h,Great Britain,188.0,82.0,30.0,23. 8. 1995,29,8.0,251,65.0,man,left
149,Francisco Cerundolo,Argentina,ARG,False,169 km/h,Argentina,185.0,78.0,27.0,13. 8. 1998,20,18.0,255,135.0,man,right
150,Mikael Ymer,Sweden,SWE,False,169 km/h,Sweden,183.0,75.0,27.0,9. 9. 1998,890,50.0,-,91.0,man,right
152,Oscar Otte,Germany,GER,False,168 km/h,Germany,193.0,79.0,32.0,16. 7. 1993,1028,36.0,-,140.0,man,right
153,Radu Albot,"Moldova, Republic of",MDA,False,168 km/h,Moldavsko,175.0,69.0,36.0,11. 11. 1989,419,39.0,1423,56.0,man,right
154,Sebastian Baez,Argentina,ARG,False,167 km/h,Argentina,170.0,70.0,25.0,28. 12. 2000,53,18.0,-,189.0,man,right
156,Tomas Machac,Czech Republic,CZE,False,167 km/h,Czech Republic,183.0,73.0,25.0,13. 10. 2000,50,20.0,114,46.0,man,right
157,Jenson Brooksby,United States,USA,False,167 km/h,USA,188.0,82.0,25.0,26. 10. 2000,41,33.0,-,249.0,man,right
158,Pablo Cuevas,Uruguay,URU,False,166 km/h,Uruguay,180.0,78.0,,,-,19.0,-,14.0,man,right
161,Mikhail Kukushkin,Kazakhstan,KAZ,False,166 km/h,Kazakhstan,183.0,72.0,38.0,26. 12. 1987,259,39.0,892,67.0,man,right
164,Kei Nishikori,Japan,JPN,False,162 km/h,Japan,178.0,73.0,36.0,29. 12. 1989,284,4.0,-,41.0,man,right
166,Damir Dzumhur,Bosnia and Herzegovina,BIH,False,162 km/h,Bosnia and Herzeg.,175.0,68.0,33.0,20. 5. 1992,64,23.0,899,117.0,man,right
167,Corentin Moutet,France,FRA,False,160 km/h,France,175.0,68.0,26.0,19. 4. 1999,33,31.0,347,72.0,man,left
168,Hugo Gaston,France,FRA,False,159 km/h,France,173.0,68.0,25.0,26. 9. 2000,96,58.0,887,161.0,man,left
169,Hugo Dellien,"Bolivia, Plurinational State of",BOL,False,158 km/h,Bolivia,180.0,75.0,32.0,16. 6. 1993,164,64.0,-,111.0,man,right
172,Egor Gerasimov,Belarus,BLR,False,157 km/h,Belarus,196.0,86.0,33.0,11. 11. 1992,827,65.0,914,78.0,man,right
173,Yoshihito Nishioka,Japan,JPN,False,156 km/h,Japan,170.0,64.0,30.0,27. 9. 1995,170,24.0,-,56.0,man,left
